n;date;relative_humidity_1;barometric_pressure_1;temperature_1;analog_output_12
581;2020-10-05T22:20:38.709Z;83;996,6;11,5;26,56
582;2020-10-05T22:30:38.701Z;83;996,7;11,5;26,56
583;2020-10-05T22:40:38.691Z;83;996,7;11,5;26,55
584;2020-10-05T22:50:38.684Z;83;996,6;11,5;26,56
585;2020-10-05T23:00:38.673Z;83;996,6;11,6;26,56
586;2020-10-05T23:10:38.666Z;83;996,5;11,6;26,55
587;2020-10-05T23:20:38.701Z;83;996,5;11,6;26,55
588;2020-10-05T23:30:38.649Z;83,5;996,5;11,7;26,55
589;2020-10-05T23:40:38.640Z;83,5;996,6;11,7;26,55
590;2020-10-05T23:50:38.631Z;83,5;996,6;11,8;26,55
591;2020-10-06T00:00:38.624Z;83,5;996,6;11,8;26,54
592;2020-10-06T00:10:38.659Z;83,5;996,5;11,8;26,54
593;2020-10-06T00:20:38.606Z;83,5;996,3;11,8;26,54
594;2020-10-06T00:30:38.597Z;83,5;996,1;11,9;26,55
595;2020-10-06T00:40:38.589Z;84;996,1;11,9;26,54
596;2020-10-06T00:50:38.581Z;84;996,1;11,9;26,55
597;2020-10-06T01:00:38.571Z;84;996;12;26,54
598;2020-10-06T01:10:38.565Z;84;995,9;12;26,55
599;2020-10-06T01:20:38.555Z;84;995,8;12;26,53
600;2020-10-06T01:30:38.548Z;84;995,9;12,1;26,53
601;2020-10-06T01:40:38.539Z;84;995,9;12,1;26,54
602;2020-10-06T01:50:38.528Z;84;996;12,2;26,54
603;2020-10-06T02:00:38.519Z;84,5;996,1;12,2;26,53
604;2020-10-06T02:10:38.511Z;84,5;996,1;12,3;26,52
605;2020-10-06T02:20:38.503Z;84,5;996;12,3;26,53
606;2020-10-06T02:30:38.495Z;84,5;996;12,4;26,52
607;2020-10-06T02:40:38.485Z;84,5;996;12,4;26,52
608;2020-10-06T02:50:38.478Z;84,5;996;12,4;26,53
609;2020-10-06T03:00:38.469Z;84,5;996;12,4;26,52
610;2020-10-06T03:20:38.484Z;84,5;996;12,4;26,52
611;2020-10-06T03:30:38.442Z;84,5;996;12,4;26,53
612;2020-10-06T03:40:38.436Z;84,5;996;12,4;26,52
613;2020-10-06T03:50:38.426Z;84,5;996;12,4;26,52
614;2020-10-06T04:00:38.418Z;84,5;996;12,4;26,52
615;2020-10-06T04:10:38.408Z;84,5;996;12,3;26,52
616;2020-10-06T04:20:38.401Z;84,5;996,2;12,3;26,52
617;2020-10-06T04:30:38.393Z;84,5;996,3;12,2;26,52
618;2020-10-06T04:40:38.386Z;84,5;996,3;12,1;26,53
619;2020-10-06T04:50:38.377Z;84,5;996,3;12;26,52
620;2020-10-06T05:00:38.368Z;84,5;996,3;11,9;26,53
621;2020-10-06T05:10:38.360Z;84,5;996,4;11,8;26,53
622;2020-10-06T05:20:38.354Z;84,5;996,4;11,7;26,53
623;2020-10-06T05:30:38.346Z;84,5;996,5;11,6;26,54
624;2020-10-06T05:40:38.336Z;84,5;996,5;11,5;26,54
625;2020-10-06T05:50:38.323Z;84,5;996,5;11,4;26,54
626;2020-10-06T06:00:38.315Z;84,5;996,6;11,4;26,55
627;2020-10-06T06:10:38.306Z;84,5;996,6;11,4;26,55
628;2020-10-06T06:20:38.296Z;84,5;996,7;11,5;26,55
629;2020-10-06T06:30:38.288Z;85;996,7;11,5;26,55
630;2020-10-06T06:40:38.279Z;85;996,7;11,5;26,55
631;2020-10-06T06:50:38.270Z;85;996,7;11,5;26,55
632;2020-10-06T07:00:38.263Z;85;996,6;11,5;26,55
633;2020-10-06T07:10:38.255Z;85;996,6;11,5;26,55
634;2020-10-06T07:20:38.246Z;85;996,6;11,5;26,55
635;2020-10-06T07:30:38.238Z;85;996,5;11,5;26,55
636;2020-10-06T07:40:38.258Z;85;996,3;11,5;26,55
637;2020-10-06T07:50:38.220Z;85;996,3;11,6;26,54
638;2020-10-06T08:00:38.210Z;85;996,2;11,7;26,55
639;2020-10-06T08:10:38.204Z;85;996,1;11,8;26,54
640;2020-10-06T08:20:38.196Z;85;996;11,8;26,54
641;2020-10-06T08:30:38.184Z;84,5;995,9;11,9;26,53
642;2020-10-06T08:40:38.176Z;84,5;995,8;11,9;26,53
643;2020-10-06T08:50:38.169Z;84,5;995,8;11,8;26,51
644;2020-10-06T09:00:38.159Z;84,5;995,7;11,8;26,52
645;2020-10-06T09:10:38.151Z;84,5;995,6;11,9;26,51
646;2020-10-06T09:20:38.141Z;84,5;995,7;12;26,52
647;2020-10-06T09:30:38.134Z;84,5;995,6;11,9;26,51
648;2020-10-06T09:40:38.147Z;84,5;995,6;11,9;26,5
649;2020-10-06T09:50:38.143Z;85;995,5;12;26,51
650;2020-10-06T10:00:38.108Z;85;995,4;12,2;26,5
651;2020-10-06T10:10:38.101Z;85;995,4;12,5;26,5
652;2020-10-06T10:20:38.091Z;85;995,4;12,5;26,48
653;2020-10-06T10:30:38.082Z;85;995,2;12,5;26,48
654;2020-10-06T10:40:38.074Z;85;995,1;12,5;26,48
655;2020-10-06T10:50:38.065Z;85;995;12,6;26,48
656;2020-10-06T11:00:38.057Z;85;994,9;12,8;26,48
657;2020-10-06T11:10:38.047Z;84,5;994,8;12,9;26,47
658;2020-10-06T11:20:38.071Z;85;994,7;13,2;26,45
659;2020-10-06T11:30:38.030Z;84,5;994,5;13,3;26,45
660;2020-10-06T11:40:38.024Z;84,5;994,5;13,4;26,43
661;2020-10-06T11:50:38.015Z;84,5;994,5;13,3;26,42
662;2020-10-06T12:00:38.006Z;84,5;994,5;13,2;26,43
663;2020-10-06T12:10:37.998Z;84,5;994,6;13,1;26,42
664;2020-10-06T12:20:37.990Z;85;994,5;13,1;26,42
665;2020-10-06T12:30:37.979Z;85;994,5;13,1;26,43
666;2020-10-06T12:40:37.970Z;85;994,4;13,2;26,43
667;2020-10-06T12:50:37.962Z;85;994,3;13,3;26,43
668;2020-10-06T13:00:37.956Z;85;994,3;13,2;26,43
669;2020-10-06T13:10:37.947Z;85;994,4;13,3;26,43
670;2020-10-06T13:20:37.937Z;85;994,5;13,3;26,43
671;2020-10-06T13:30:37.928Z;85;994,6;13,3;26,44
672;2020-10-06T13:40:37.921Z;85;994,6;13,3;26,43
673;2020-10-06T13:50:37.911Z;85;994,7;13,3;26,44
674;2020-10-06T14:00:37.971Z;85;995;13,2;26,44
675;2020-10-06T14:10:37.895Z;85;995,1;13,2;26,44
676;2020-10-06T14:20:37.886Z;85;995,2;13,2;26,45
677;2020-10-06T14:30:37.877Z;85;995,2;13,2;26,44
678;2020-10-06T14:40:37.871Z;85;995,2;13,3;26,44
679;2020-10-06T14:50:37.861Z;85,5;995,3;13,5;26,44
680;2020-10-06T15:00:37.882Z;85;995,3;13,5;26,44
681;2020-10-06T15:10:37.844Z;85;995,5;13,5;26,44
682;2020-10-06T15:20:37.849Z;85;995,6;13,4;26,43
683;2020-10-06T15:30:37.826Z;85;995,6;13,3;26,43
684;2020-10-06T15:40:37.820Z;85;995,6;13,2;26,43
685;2020-10-06T15:50:37.812Z;85;995,7;13,2;26,44
686;2020-10-06T16:00:37.802Z;85;995,6;13,1;26,43
687;2020-10-06T16:10:37.794Z;85;995,7;13,1;26,44
688;2020-10-06T16:20:37.784Z;85;995,7;13;26,44
689;2020-10-06T16:30:37.777Z;85;995,8;12,8;26,45
690;2020-10-06T16:40:37.800Z;85;995,8;12,7;26,45
691;2020-10-06T16:50:37.759Z;85;995,8;12,6;26,46
692;2020-10-06T17:00:37.752Z;85;995,9;12,5;26,46
693;2020-10-06T17:10:37.744Z;85;996;12,3;26,46
694;2020-10-06T17:20:37.734Z;85;996,1;12,2;26,48
695;2020-10-06T17:30:37.726Z;85;996,2;12;26,48
696;2020-10-06T17:40:37.717Z;85;996,3;11,9;26,48
697;2020-10-06T17:50:37.710Z;85;996,5;11,8;26,49
698;2020-10-06T18:00:37.701Z;85;996,5;11,7;26,5
699;2020-10-06T18:10:37.693Z;85;996,5;11,6;26,51
700;2020-10-06T18:20:37.686Z;85;996,6;11,6;26,51
701;2020-10-06T18:30:37.677Z;85;996,6;11,5;26,52
702;2020-10-06T18:40:37.667Z;85;996,7;11,5;26,52
703;2020-10-06T18:50:37.658Z;85;996,8;11,4;26,53
704;2020-10-06T19:00:37.651Z;85;996,8;11,3;26,53
705;2020-10-06T19:10:37.641Z;85;996,9;11,2;26,54
706;2020-10-06T19:20:37.632Z;85;996,9;11,2;26,54
707;2020-10-06T19:30:37.623Z;85;996,9;11,1;26,54
708;2020-10-06T19:40:37.616Z;85;996,9;11,1;26,55
709;2020-10-06T19:50:37.605Z;85;997;11;26,56
710;2020-10-06T20:00:37.599Z;85;997,1;11;26,56
711;2020-10-06T20:10:37.590Z;85;997,2;11;26,57
712;2020-10-06T20:20:52.594Z;85,5;974,8;11;26,54
713;2020-10-06T20:30:52.582Z;85;997,2;11,1;26,56
714;2020-10-06T20:40:52.573Z;85;997,2;11,1;26,56
715;2020-10-06T20:50:52.566Z;85;997,2;11,1;26,57
716;2020-10-06T21:00:52.588Z;85;997,2;11;26,56
717;2020-10-06T21:10:52.548Z;85;997,2;11;26,57
718;2020-10-06T21:20:52.540Z;85;997,3;11;26,56
719;2020-10-06T21:30:52.532Z;85;997,4;11;26,57
720;2020-10-06T21:40:52.523Z;85;997,5;11,1;26,57
721;2020-10-06T21:50:52.545Z;85,5;997,5;11,1;26,57
722;2020-10-06T22:00:52.506Z;85,5;997,5;11,1;26,57
723;2020-10-06T22:10:52.496Z;85,5;997,6;11,1;26,56
724;2020-10-06T22:20:52.489Z;85,5;997,6;11,1;26,57
725;2020-10-06T22:30:52.481Z;85,5;997,8;11,2;26,57
726;2020-10-06T22:40:52.470Z;85,5;997,9;11,2;26,58
727;2020-10-06T22:50:52.463Z;85,5;998;11,2;26,57
728;2020-10-06T23:00:52.497Z;85,5;998,1;11,3;26,57
729;2020-10-06T23:10:52.446Z;85,5;998,1;11,3;26,57
730;2020-10-06T23:20:52.437Z;85,5;998,2;11,3;26,56
731;2020-10-06T23:30:52.438Z;85,5;998,2;11,3;26,57
732;2020-10-06T23:40:52.420Z;85,5;998,4;11,3;26,57
733;2020-10-07T00:10:52.393Z;85,5;998,5;11,2;26,56
734;2020-10-07T00:20:52.414Z;85,5;998,7;11,2;26,57
735;2020-10-07T00:30:52.377Z;85,5;998,8;11,1;26,58
736;2020-10-07T00:40:52.368Z;85,5;998,9;11,1;26,57
737;2020-10-07T00:50:52.359Z;85,5;999;11,1;26,57
738;2020-10-07T01:00:52.352Z;85,5;999,1;11,1;26,57
739;2020-10-07T01:10:52.341Z;85,5;999,3;11,1;26,57
740;2020-10-07T01:20:52.332Z;85,5;999,3;11,1;26,57
741;2020-10-07T01:30:52.326Z;85,5;999,4;11,1;26,57
742;2020-10-07T01:40:52.317Z;85,5;999,4;11,1;26,58
743;2020-10-07T01:50:52.308Z;85,5;999,6;11;26,57
744;2020-10-07T02:00:52.301Z;85,5;999,6;11,1;26,57
745;2020-10-07T02:10:52.290Z;86;999,7;11,1;26,57
746;2020-10-07T02:20:52.282Z;86;999,8;11,1;26,57
747;2020-10-07T02:30:52.274Z;86;999,9;11,2;26,57
748;2020-10-07T02:40:52.300Z;86;1000,1;11,2;26,57
749;2020-10-07T02:50:52.256Z;86;1000,3;11,2;26,58
750;2020-10-07T03:00:52.247Z;86;1000,4;11,2;26,57
751;2020-10-07T03:20:52.229Z;86;1000,8;11,2;26,57
752;2020-10-07T03:30:52.221Z;86;1001;11,2;26,57
753;2020-10-07T03:40:52.212Z;86;1001,1;11,2;26,57
754;2020-10-07T03:50:52.205Z;86;1001,2;11,2;26,57
755;2020-10-07T04:00:52.197Z;86;1001,3;11,2;26,57
756;2020-10-07T04:10:52.188Z;86;1001,5;11,2;26,57
757;2020-10-07T04:20:52.207Z;86;1001,8;11,2;26,57
758;2020-10-07T04:30:52.171Z;86;1002;11,2;26,57
759;2020-10-07T04:40:52.163Z;86;1002,2;11,2;26,57
760;2020-10-07T04:50:52.153Z;86;1002,4;11,2;26,57
761;2020-10-07T05:00:52.145Z;86;1002,6;11,2;26,56
762;2020-10-07T05:10:52.138Z;86;1002,8;11,1;26,57
763;2020-10-07T05:20:52.127Z;86;1002,9;11;26,58
764;2020-10-07T05:40:52.110Z;86;1003,2;11;26,58
765;2020-10-07T05:50:52.101Z;86;1003,4;11;26,58
766;2020-10-07T06:00:52.124Z;86;1003,6;11;26,59
767;2020-10-07T06:10:52.084Z;86;1003,9;11;26,6
768;2020-10-07T06:20:52.076Z;86;1004,1;11,1;26,58
769;2020-10-07T06:30:52.068Z;86;1004,3;11,1;26,58
770;2020-10-07T06:40:52.058Z;86;1004,5;11;26,58
771;2020-10-07T06:50:52.049Z;86;1004,6;11;26,58
772;2020-10-07T07:00:52.041Z;86;1004,7;10,9;26,58
773;2020-10-07T07:10:52.034Z;86,5;1004,8;11;26,59
774;2020-10-07T07:20:52.025Z;86,5;1004,9;11,1;26,59
775;2020-10-07T07:30:52.047Z;86,5;1005;11,3;26,59
776;2020-10-07T07:40:52.006Z;86,5;1005,1;11,4;26,58
777;2020-10-07T07:50:51.999Z;86,5;1005,2;11,6;26,58
778;2020-10-07T08:00:51.989Z;86,5;1005,4;11,8;26,57
779;2020-10-07T08:10:51.980Z;86,5;1005,5;12;26,57
780;2020-10-07T08:20:51.972Z;86,5;1005,7;12,3;26,55
781;2020-10-07T08:30:51.966Z;86;1005,8;12,5;26,54
782;2020-10-07T08:40:51.957Z;86;1006;12,7;26,52
783;2020-10-07T08:50:51.948Z;86;1006,2;13,1;26,51
784;2020-10-07T09:00:51.939Z;86;1006,4;13,2;26,49
785;2020-10-07T09:10:51.932Z;86;1006,6;13,2;26,47
786;2020-10-07T09:20:51.922Z;86;1006,7;13,1;26,46
787;2020-10-07T09:30:51.915Z;86;1006,8;13;26,45
788;2020-10-07T09:40:51.906Z;86;1007;12,9;26,46
789;2020-10-07T09:50:51.896Z;86;1007;12,8;26,46
790;2020-10-07T10:00:51.887Z;86;1007,1;12,8;26,45
791;2020-10-07T10:10:51.880Z;86;1007,2;12,9;26,45
792;2020-10-07T10:20:51.873Z;86;1007,3;13;26,46
793;2020-10-07T10:30:51.866Z;86,5;1007,3;13,2;26,46
794;2020-10-07T10:40:51.856Z;86,5;1007,4;13,6;26,45
795;2020-10-07T10:50:51.847Z;86;1007,5;13,8;26,44
796;2020-10-07T11:00:51.840Z;86;1007,6;13,8;25,55
797;2020-10-07T11:10:51.830Z;86;1007,7;13,8;25,1
798;2020-10-07T11:20:51.857Z;86;1007,9;13,9;26,41
799;2020-10-07T11:30:51.813Z;86;1008;14;26,4
800;2020-10-07T11:40:51.805Z;86;1008,1;13,9;26,4
801;2020-10-07T11:50:51.795Z;86;1008,2;14;26,4
802;2020-10-07T12:00:51.788Z;86;1008,2;14;26,39
803;2020-10-07T12:10:51.778Z;86;1008,3;14;26,39
804;2020-10-07T12:20:51.770Z;85,5;1008,4;14,1;26,39
805;2020-10-07T12:30:51.763Z;85,5;1008,5;14,1;26,39
806;2020-10-07T12:40:51.753Z;85,5;1008,6;14,2;26,38
807;2020-10-07T12:50:51.746Z;85;1008,8;14,1;26,37
808;2020-10-07T13:00:51.737Z;85;1008,9;14;26,38
809;2020-10-07T13:10:51.729Z;85;1009,1;14;26,38
810;2020-10-07T13:20:51.721Z;85;1009,4;13,9;26,38
811;2020-10-07T13:30:51.711Z;85;1009,6;13,8;26,37
812;2020-10-07T13:40:51.703Z;85;1009,7;13,8;26,38
813;2020-10-07T13:50:51.695Z;85;1009,8;13,8;26,39
814;2020-10-07T14:00:51.686Z;85;1009,8;13,7;26,38
815;2020-10-07T14:10:51.678Z;84,5;1010;13,8;26,39
816;2020-10-07T14:20:51.671Z;84,5;1010;13,7;26,39
817;2020-10-07T14:30:51.662Z;84,5;1010;13,6;26,4
818;2020-10-07T14:40:51.653Z;84,5;1010,2;13,5;26,4
819;2020-10-07T14:50:51.642Z;84;1010,4;13,4;26,4
820;2020-10-07T15:00:51.636Z;84,5;1010,5;13,4;26,39
821;2020-10-07T15:10:51.628Z;84,5;1010,6;13,3;26,4
822;2020-10-07T15:20:51.618Z;84,5;1010,7;13,3;26,4
823;2020-10-07T15:30:51.610Z;84,5;1010,8;13,3;26,41
824;2020-10-07T15:40:51.604Z;84,5;1010,8;13,3;26,41
825;2020-10-07T15:50:51.594Z;84,5;1011;13,3;26,41
826;2020-10-07T16:00:51.585Z;84;1011,1;13,2;26,41
827;2020-10-07T16:10:51.578Z;84;1011,1;13,2;26,42
828;2020-10-07T16:20:51.569Z;84;1011,3;13,1;26,42
829;2020-10-07T16:30:51.560Z;84;1011,5;13;26,43
830;2020-10-07T16:40:51.551Z;84;1011,6;12,9;26,43
831;2020-10-07T16:50:51.544Z;84;1011,8;12,8;26,43
832;2020-10-07T17:00:51.536Z;84;1011,9;12,7;26,44
833;2020-10-07T17:10:51.525Z;84;1012,2;12,7;26,44
834;2020-10-07T17:20:51.518Z;84;1012,3;12,6;26,45
835;2020-10-07T17:30:51.509Z;84;1012,5;12,6;26,45
836;2020-10-07T17:40:51.499Z;84;1012,5;12,5;26,45
837;2020-10-07T17:50:51.490Z;84;1012,8;12,4;26,46
838;2020-10-07T18:00:51.480Z;84;1012,9;12,4;26,46
839;2020-10-07T18:10:51.495Z;84;1013,2;12,3;26,47
840;2020-10-07T18:20:51.467Z;84;1013,3;12,2;26,48
841;2020-10-07T18:30:51.458Z;84;1013,3;12,1;26,48
842;2020-10-07T18:40:51.449Z;84;1013,4;12;26,47
843;2020-10-07T18:50:51.440Z;84;1013,5;11,9;26,48
844;2020-10-07T19:00:51.431Z;84;1013,6;11,8;26,49
845;2020-10-07T19:10:51.423Z;84;1013,6;11,7;26,51
846;2020-10-07T19:20:51.414Z;84;1013,7;11,6;26,49
847;2020-10-07T19:30:51.435Z;84;1013,7;11,6;26,51
848;2020-10-07T19:40:51.397Z;84;1013,8;11,5;26,52
849;2020-10-07T19:50:51.389Z;84;1013,9;11,5;26,52
850;2020-10-07T20:00:51.381Z;84;1013,9;11,5;26,52
851;2020-10-07T20:10:51.372Z;84;1013,8;11,4;26,52
852;2020-10-07T20:21:06.350Z;84,5;991,2;11,3;26,53
853;2020-10-07T20:31:06.341Z;84;1014;11,3;26,53
854;2020-10-07T20:41:06.332Z;84;1014;11,2;26,53
855;2020-10-07T20:51:06.321Z;84;1014;11,1;26,54
856;2020-10-07T21:01:06.315Z;84;1014,1;11;26,54
857;2020-10-07T21:11:06.304Z;84;1014,1;10,9;26,54
858;2020-10-07T21:21:06.295Z;84;1014,2;10,8;26,56
859;2020-10-07T21:31:06.286Z;84;1014,2;10,7;26,56
860;2020-10-07T21:41:06.276Z;84;1014,2;10,6;26,57
861;2020-10-07T21:51:06.277Z;84;1014,2;10,5;26,57
862;2020-10-07T22:01:06.260Z;84;1014,2;10,4;26,58
863;2020-10-07T22:11:06.253Z;84;1014,2;10,3;26,58
864;2020-10-07T22:21:06.245Z;84;1014,1;10,2;26,59
865;2020-10-07T22:31:06.236Z;84;1014,1;10,2;26,6
866;2020-10-07T22:41:06.228Z;84;1014,2;10,2;26,59
867;2020-10-07T22:51:06.218Z;84;1014,2;10,2;26,61
868;2020-10-07T23:01:06.210Z;84,5;1014,3;10,2;26,61
869;2020-10-07T23:11:06.201Z;84,5;1014,3;10,2;26,61
870;2020-10-07T23:21:06.191Z;84;1014,2;10,3;26,61
871;2020-10-07T23:31:06.183Z;84;1014,3;10,2;26,61
872;2020-10-07T23:41:06.202Z;84;1014,3;10,2;26,61
873;2020-10-07T23:51:06.166Z;84;1014,3;10,2;26,61
874;2020-10-08T00:01:06.159Z;84;1014,3;10,2;26,61
875;2020-10-08T00:11:06.148Z;84;1014,2;10,2;26,62
876;2020-10-08T00:21:06.139Z;84;1014,1;10,2;26,62
877;2020-10-08T00:31:06.131Z;84;1014,1;10,2;26,62
878;2020-10-08T00:41:06.123Z;84;1014,1;10,2;26,61
879;2020-10-08T00:51:06.115Z;84;1014,1;10,2;26,61
880;2020-10-08T01:01:06.106Z;84;1014,1;10,1;26,61
881;2020-10-08T01:11:06.096Z;84;1014;10,1;26,62
882;2020-10-08T01:21:06.088Z;84;1013,9;10,1;26,61
883;2020-10-08T01:31:06.079Z;84;1013,9;10,1;26,61
884;2020-10-08T01:41:06.069Z;84;1013,7;10,1;26,62
885;2020-10-08T01:51:06.060Z;84;1013,6;10,1;26,62
886;2020-10-08T02:01:06.052Z;84;1013,8;10,1;26,61
887;2020-10-08T02:11:06.046Z;84;1013,7;10,1;26,62
888;2020-10-08T02:21:06.034Z;84;1013,7;10,1;26,61
889;2020-10-08T02:31:06.026Z;84;1013,6;10,1;26,62
890;2020-10-08T02:41:06.018Z;84;1013,5;10,1;26,61
891;2020-10-08T02:51:06.010Z;84;1013,5;10,1;26,61
892;2020-10-08T03:01:06.001Z;84;1013,2;10,1;26,61
893;2020-10-08T03:11:05.992Z;84;1013,1;10,2;26,61
894;2020-10-08T03:21:05.983Z;84;1012,8;10,2;26,61
895;2020-10-08T03:31:05.976Z;84;1012,7;10,2;26,61
896;2020-10-08T03:41:05.966Z;84,5;1012,6;10,2;26,61
897;2020-10-08T03:51:05.958Z;84,5;1012,5;10,3;26,6
898;2020-10-08T04:01:05.950Z;84,5;1012,3;10,3;26,6
899;2020-10-08T04:11:05.941Z;84,5;1012,1;10,3;26,59
900;2020-10-08T04:21:05.930Z;84,5;1012;10,4;26,59
901;2020-10-08T04:31:05.922Z;84,5;1011,8;10,4;26,6
902;2020-10-08T04:41:05.913Z;84,5;1011,6;10,4;26,6
903;2020-10-08T04:51:05.904Z;84,5;1011,4;10,4;26,6
904;2020-10-08T05:01:05.896Z;84,5;1011,2;10,5;26,59
905;2020-10-08T05:11:05.887Z;85;1011,1;10,5;26,59
906;2020-10-08T05:21:05.947Z;85;1011;10,5;26,58
907;2020-10-08T05:31:05.870Z;85;1010,7;10,5;26,59
908;2020-10-08T05:41:05.861Z;85;1010,4;10,5;26,59
909;2020-10-08T05:51:05.853Z;85;1010,3;10,5;26,59
910;2020-10-08T06:01:05.845Z;85;1010;10,5;26,58
911;2020-10-08T06:11:05.836Z;85;1009,9;10,5;26,58
912;2020-10-08T06:21:05.827Z;85;1009,8;10,6;26,58
913;2020-10-08T06:31:05.818Z;85,5;1009,6;10,7;26,59
914;2020-10-08T06:41:05.811Z;85,5;1009,5;10,8;26,59
915;2020-10-08T06:51:05.800Z;85,5;1009,4;10,9;26,57
916;2020-10-08T07:01:05.794Z;85,5;1009,2;11;26,58
917;2020-10-08T07:11:05.784Z;85,5;1008,9;11,1;26,58
918;2020-10-08T07:21:05.775Z;86;1008,8;11,2;26,57
919;2020-10-08T07:31:05.766Z;86;1008,7;11,3;26,57
920;2020-10-08T07:41:05.758Z;86;1008,5;11,4;26,57
921;2020-10-08T07:51:05.750Z;86;1008,3;11,5;26,56
922;2020-10-08T08:01:05.739Z;86;1008,2;11,7;26,55
923;2020-10-08T08:11:05.743Z;86;1008,1;11,8;26,56
924;2020-10-08T08:21:05.723Z;86;1008;11,9;26,55
925;2020-10-08T08:31:05.715Z;86,5;1008;12,1;26,55
926;2020-10-08T08:41:05.705Z;86,5;1007,8;12,2;26,55
927;2020-10-08T08:51:05.697Z;86,5;1007,8;12,4;26,55
928;2020-10-08T09:01:05.690Z;86,5;1007,8;12,5;26,54
929;2020-10-08T09:11:05.682Z;86,5;1007,8;12,7;26,54
930;2020-10-08T09:21:05.674Z;86,5;1007,7;12,8;26,53
931;2020-10-08T09:31:05.664Z;87;1007,6;13;26,52
932;2020-10-08T09:41:05.656Z;87;1007,6;13,2;26,52
933;2020-10-08T09:51:05.647Z;87;1007,4;13,4;26,5
934;2020-10-08T10:01:05.639Z;87;1007,3;13,5;26,5
935;2020-10-08T10:11:05.629Z;87;1007,3;13,6;26,48
936;2020-10-08T10:21:05.621Z;87;1007,2;13,7;26,48
937;2020-10-08T10:31:05.613Z;87;1007,1;13,7;26,47
938;2020-10-08T10:41:05.604Z;87;1007,1;13,7;26,47
939;2020-10-08T10:51:05.596Z;87;1007;13,8;26,46
940;2020-10-08T11:01:05.587Z;87;1007;13,9;26,47
941;2020-10-08T11:11:05.578Z;87;1007;14;26,45
942;2020-10-08T11:21:05.569Z;87;1007;14,1;26,45
943;2020-10-08T11:41:05.554Z;87;1007;14,2;26,45
944;2020-10-08T11:51:05.575Z;87;1007;14,3;26,45
945;2020-10-08T12:01:05.536Z;87;1007;14,3;26,45
946;2020-10-08T12:11:05.528Z;87;1007;14,3;26,45
947;2020-10-08T12:21:05.520Z;87;1007,1;14,3;26,44
948;2020-10-08T12:31:05.511Z;87;1007,1;14,4;26,45
949;2020-10-08T12:41:05.503Z;87;1007,1;14,4;26,45
950;2020-10-08T12:51:05.495Z;87,5;1007,1;14,4;26,46
951;2020-10-08T13:01:05.488Z;87;1007;14,5;26,46
952;2020-10-08T13:11:05.477Z;87;1007,1;14,5;26,45
953;2020-10-08T13:21:05.468Z;87,5;1007;14,5;26,45
954;2020-10-08T13:31:05.461Z;87,5;1007;14,5;26,45
955;2020-10-08T13:41:05.451Z;87,5;1007;14,6;26,45
956;2020-10-08T13:51:05.444Z;87,5;1007;14,6;26,45
957;2020-10-08T14:01:05.436Z;87,5;1006,9;14,6;26,45
958;2020-10-08T14:11:05.426Z;87,5;1006,9;14,6;26,45
959;2020-10-08T14:21:05.419Z;87,5;1006,9;14,7;26,45
960;2020-10-08T14:31:05.411Z;87,5;1007;14,7;26,45
961;2020-10-08T14:41:05.404Z;87,5;1006,9;14,7;26,46
962;2020-10-08T14:51:05.418Z;87,5;1006,9;14,7;26,46
963;2020-10-08T15:01:05.385Z;87,5;1006,8;14,7;26,46
964;2020-10-08T15:11:05.379Z;87,5;1006,7;14,7;26,46
965;2020-10-08T15:21:05.369Z;87,5;1006,7;14,7;26,46
966;2020-10-08T15:31:05.360Z;87,5;1006,8;14,7;26,45
967;2020-10-08T15:41:05.352Z;87,5;1006,8;14,8;26,46
968;2020-10-08T15:51:05.344Z;87,5;1006,8;14,8;26,46
969;2020-10-08T16:01:05.335Z;87,5;1006,9;14,8;26,47
970;2020-10-08T16:11:05.328Z;87,5;1007;14,8;26,47
971;2020-10-08T16:21:05.319Z;87,5;1007,1;14,8;26,47
972;2020-10-08T16:31:05.310Z;87,5;1007,2;14,9;26,46
973;2020-10-08T16:41:05.303Z;87,5;1007,3;14,9;26,45
974;2020-10-08T16:51:05.293Z;87,5;1007,4;14,9;26,41
975;2020-10-08T17:01:05.284Z;87,5;1007,7;15;26,4
976;2020-10-08T17:11:05.276Z;87,5;1008,1;15;26,39
977;2020-10-08T17:21:05.267Z;87,5;1008,4;14,9;26,41
978;2020-10-08T17:31:05.261Z;87,5;1008,7;14,7;26,4
979;2020-10-08T17:41:05.250Z;87,5;1008,9;14,5;26,41
980;2020-10-08T17:51:05.243Z;87,5;1009,1;14,4;26,41
981;2020-10-08T18:01:05.234Z;87,5;1009,3;14,2;26,42
982;2020-10-08T18:11:05.226Z;87,5;1009,6;14,1;26,42
983;2020-10-08T18:21:05.247Z;87,5;1010;14;26,42
984;2020-10-08T18:31:05.210Z;87,5;1010,3;13,9;26,42
985;2020-10-08T18:41:05.201Z;87,5;1010,7;13,8;26,44
986;2020-10-08T18:51:05.194Z;87,5;1011,1;13,7;26,44
987;2020-10-08T19:01:05.187Z;87,5;1011,4;13,6;26,44
988;2020-10-08T19:11:05.177Z;87;1011,6;13,4;26,45
989;2020-10-08T19:21:05.167Z;87;1011,9;13,3;26,45
990;2020-10-08T19:31:05.159Z;87;1012;13,2;26,46
991;2020-10-08T19:41:05.152Z;87;1012,1;13;26,47
992;2020-10-08T19:51:05.141Z;87;1012,3;12,9;26,47
