"time";"Weight - weight (kg) (weight_kg)"
2021-02-01T00:01:15Z;27.268856439199
2021-02-01T00:11:15Z;27.268856439199
2021-02-01T00:21:15Z;27.268856439199
2021-02-01T00:31:15Z;27.270166012235
2021-02-01T00:41:15Z;27.267856712235
2021-02-01T00:51:15Z;27.269166285271
2021-02-01T01:01:15Z;27.271475585271
2021-02-01T01:11:15Z;27.269166285271
2021-02-01T01:21:15Z;27.270475858307
2021-02-01T01:31:15Z;27.268166558307
2021-02-01T01:41:15Z;27.270475858307
2021-02-01T01:51:15Z;27.268166558307
2021-02-01T02:01:15Z;27.269476131342
2021-02-01T02:11:15Z;27.271785431342
2021-02-01T02:21:15Z;27.271785431342
2021-02-01T02:31:15Z;27.269476131342
2021-02-01T02:41:15Z;27.270785704378
2021-02-01T02:51:15Z;27.273095004378
2021-02-01T03:01:15Z;27.270785704378
2021-02-01T03:11:15Z;27.270785704378
2021-02-01T03:21:15Z;27.270785704378
2021-02-01T03:31:15Z;27.272095277414
2021-02-01T03:41:15Z;27.272095277414
2021-02-01T03:51:15Z;27.272095277414
2021-02-01T04:01:15Z;27.272095277414
2021-02-01T04:11:15Z;27.272095277414
2021-02-01T04:21:15Z;27.272095277414
2021-02-01T04:31:15Z;27.272095277414
2021-02-01T04:41:15Z;27.269785977414
2021-02-01T04:51:15Z;27.272095277414
2021-02-01T05:01:15Z;27.272095277414
2021-02-01T05:11:15Z;27.272095277414
2021-02-01T05:21:15Z;27.269785977414
2021-02-01T05:31:15Z;27.272095277414
2021-02-01T05:41:15Z;27.272095277414
2021-02-01T05:51:15Z;27.272095277414
2021-02-01T06:01:15Z;27.269785977414
2021-02-01T06:11:15Z;27.272095277414
2021-02-01T06:21:15Z;27.269785977414
2021-02-01T06:31:15Z;27.272095277414
2021-02-01T06:41:15Z;27.272095277414
2021-02-01T06:51:15Z;27.27340485045
2021-02-01T07:01:15Z;27.27340485045
2021-02-01T07:11:15Z;27.27340485045
2021-02-01T07:21:15Z;27.27109555045
2021-02-01T07:31:15Z;27.27340485045
2021-02-01T07:41:15Z;27.27340485045
2021-02-01T07:51:15Z;27.27340485045
2021-02-01T08:01:15Z;27.27109555045
2021-02-01T08:11:15Z;27.27109555045
2021-02-01T08:21:15Z;27.274714423485
2021-02-01T08:31:15Z;27.272405123485
2021-02-01T08:41:15Z;27.274714423485
2021-02-01T08:51:15Z;27.274714423485
2021-02-01T09:01:15Z;27.274714423485
2021-02-01T09:11:15Z;27.272405123485
2021-02-01T09:21:14Z;27.273714696521
2021-02-01T09:31:15Z;27.273714696521
2021-02-01T09:41:14Z;27.273714696521
2021-02-01T09:51:15Z;27.275024269557
2021-02-01T10:01:14Z;27.272714969557
2021-02-01T10:11:15Z;27.274024542592
2021-02-01T10:21:14Z;27.274024542592
2021-02-01T10:31:14Z;27.275334115628
2021-02-01T10:41:14Z;27.275334115628
2021-02-01T10:51:14Z;27.276643688664
2021-02-01T11:01:14Z;27.2756439617
2021-02-01T11:11:14Z;27.2756439617
2021-02-01T11:21:14Z;27.274644234735
2021-02-01T11:31:14Z;27.275953807771
2021-02-01T11:41:15Z;27.275953807771
2021-02-01T11:51:14Z;27.274954080807
2021-02-01T12:01:14Z;27.278572953842
2021-02-01T12:11:14Z;27.277573226878
2021-02-01T12:21:15Z;27.277573226878
2021-02-01T12:31:14Z;27.277573226878
2021-02-01T12:41:14Z;27.275263926878
2021-02-01T12:51:14Z;27.275263926878
2021-02-01T13:01:14Z;27.276573499914
2021-02-01T13:11:14Z;27.274264199914
2021-02-01T13:21:14Z;27.276573499914
2021-02-01T13:31:14Z;27.27788307295
2021-02-01T13:41:30Z;27.27326447295
2021-02-01T13:51:29Z;27.27326447295
2021-02-01T14:01:29Z;27.27326447295
2021-02-01T14:11:29Z;27.27557377295
2021-02-01T14:21:29Z;27.276883345985
2021-02-01T14:31:29Z;27.276883345985
2021-02-01T14:41:29Z;27.276883345985
2021-02-01T14:51:29Z;27.27557377295
2021-02-01T15:01:29Z;27.27326447295
2021-02-01T15:11:29Z;27.27326447295
2021-02-01T15:21:29Z;27.274574045985
2021-02-01T15:31:29Z;27.276883345985
2021-02-01T15:41:29Z;27.276883345985
2021-02-01T15:51:29Z;27.274574045985
2021-02-01T16:01:29Z;27.274574045985
2021-02-01T16:11:29Z;27.276883345985
