"time";"Weight - weight (kg) (weight_kg)"
2021-02-01T00:01:25Z;27.4391026
2021-02-01T00:11:25Z;27.4391026
2021-02-01T00:21:25Z;27.4391026
2021-02-01T00:31:25Z;27.4391026
2021-02-01T00:41:25Z;27.4367933
2021-02-01T00:51:25Z;27.4367933
2021-02-01T01:01:25Z;27.4391026
2021-02-01T01:11:25Z;27.4367933
2021-02-01T01:21:25Z;27.4367933
2021-02-01T01:31:25Z;27.434484
2021-02-01T01:41:25Z;27.4367933
2021-02-01T01:51:25Z;27.434484
2021-02-01T02:01:25Z;27.434484
2021-02-01T02:11:25Z;27.4367933
2021-02-01T02:21:25Z;27.4367933
2021-02-01T02:31:25Z;27.434484
2021-02-01T02:41:25Z;27.434484
2021-02-01T02:51:25Z;27.4367933
2021-02-01T03:01:25Z;27.434484
2021-02-01T03:11:25Z;27.434484
2021-02-01T03:21:25Z;27.434484
2021-02-01T03:31:25Z;27.434484
2021-02-01T03:41:25Z;27.434484
2021-02-01T03:51:25Z;27.434484
2021-02-01T04:01:25Z;27.434484
2021-02-01T04:11:25Z;27.434484
2021-02-01T04:21:25Z;27.434484
2021-02-01T04:31:25Z;27.434484
2021-02-01T04:41:25Z;27.4321747
2021-02-01T04:51:25Z;27.434484
2021-02-01T05:01:25Z;27.434484
2021-02-01T05:11:25Z;27.434484
2021-02-01T05:21:25Z;27.4321747
2021-02-01T05:31:25Z;27.434484
2021-02-01T05:41:25Z;27.434484
2021-02-01T05:51:25Z;27.434484
2021-02-01T06:01:25Z;27.4321747
2021-02-01T06:11:25Z;27.434484
2021-02-01T06:21:25Z;27.4321747
2021-02-01T06:31:25Z;27.434484
2021-02-01T06:41:25Z;27.434484
2021-02-01T06:51:25Z;27.434484
2021-02-01T07:01:25Z;27.434484
2021-02-01T07:11:25Z;27.434484
2021-02-01T07:21:25Z;27.4321747
2021-02-01T07:31:25Z;27.434484
2021-02-01T07:41:25Z;27.434484
2021-02-01T07:51:25Z;27.434484
2021-02-01T08:01:25Z;27.4321747
2021-02-01T08:11:25Z;27.4321747
2021-02-01T08:21:25Z;27.434484
2021-02-01T08:31:25Z;27.4321747
2021-02-01T08:41:25Z;27.434484
2021-02-01T08:51:25Z;27.434484
2021-02-01T09:01:25Z;27.434484
2021-02-01T09:11:25Z;27.4321747
2021-02-01T09:21:25Z;27.4321747
2021-02-01T09:31:25Z;27.4321747
2021-02-01T09:41:25Z;27.4321747
2021-02-01T09:51:25Z;27.4321747
2021-02-01T10:01:25Z;27.4298654
2021-02-01T10:11:25Z;27.4298654
2021-02-01T10:21:25Z;27.4298654
2021-02-01T10:31:25Z;27.4298654
2021-02-01T10:41:25Z;27.4298654
2021-02-01T10:51:25Z;27.4298654
2021-02-01T11:01:25Z;27.4275561
2021-02-01T11:11:25Z;27.4275561
2021-02-01T11:21:25Z;27.4252468
2021-02-01T11:31:25Z;27.4252468
2021-02-01T11:41:25Z;27.4252468
2021-02-01T11:51:25Z;27.4229375
2021-02-01T12:01:25Z;27.4252468
2021-02-01T12:11:25Z;27.4229375
2021-02-01T12:21:25Z;27.4229375
2021-02-01T12:31:25Z;27.4229375
2021-02-01T12:41:25Z;27.4206282
2021-02-01T12:51:25Z;27.4206282
2021-02-01T13:01:25Z;27.4206282
2021-02-01T13:11:25Z;27.4183189
2021-02-01T13:21:25Z;27.4206282
2021-02-01T13:31:25Z;27.4206282
2021-02-01T13:41:40Z;27.4160096
2021-02-01T13:51:40Z;27.4160096
2021-02-01T14:01:40Z;27.4160096
2021-02-01T14:11:40Z;27.4183189
2021-02-01T14:21:40Z;27.4183189
2021-02-01T14:31:40Z;27.4183189
2021-02-01T14:41:40Z;27.4183189
2021-02-01T14:51:40Z;27.4183189
2021-02-01T15:01:40Z;27.4160096
2021-02-01T15:11:40Z;27.4160096
2021-02-01T15:21:40Z;27.4160096
2021-02-01T15:31:40Z;27.4183189
2021-02-01T15:41:40Z;27.4183189
2021-02-01T15:51:40Z;27.4160096
2021-02-01T16:01:40Z;27.4160096
2021-02-01T16:11:40Z;27.4183189
